 ;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;
Lilje;16;16;13;11;12;7;6;:;:;:;
Lilli;27;16;26;22;18;25;13;23;14;8;
Lillian;22;19;16;18;16;12;11;7;12;11;
Lilly;172;160;171;121;118;97;71;60;46;26;
Lily;49;41;54;43;27;37;21;16;16;5;
Lina;42;59;81;79;81;76;88;92;67;69;
Linda;5;11;9;16;14;21;23;17;15;21;
Linde;13;17;12;7;9;12;6;5;:;7;
Line;12;20;31;29;32;30;39;34;41;47;
Linea;47;44;60;52;74;68;97;70;54;37;
Linn;15;17;18;21;36;31;50;40;48;58;
Linnea;279;266;356;318;389;396;504;325;276;203;
Lisa;47;60;73;91;85;111;94;91;116;101;
Lise;17;15;18;23;28;33;33;24;34;39;
Liv;68;63;61;74;83;82;68;73;59;52;
Liva;25;18;19;26;24;20;17;19;19;19;
Live;144;149;177;123;114;101;92;68;110;104;
Livia;10;15;14;10;15;5;4;:;:;5;
Lone;21;26;26;27;38;25;25;44;32;30;
Lotta;32;39;52;48;42;34;40;31;15;19;
Lotte;83;78;85;63;72;68;58;47;61;43;
Louise;68;67;59;66;70;60;50;47;58;37;
Lovise;24;25;25;25;19;22;15;23;19;18;
Luca;:;:;10;6;:;4;:;7;:;:;
Lucia;6;12;7;13;10;5;10;7;4;4;
Lucy;12;9;10;10;6;12;9;10;7;6;
Luka;5;11;8;:;4;:;:;:;:;:;
Luna;51;61;72;54;47;72;46;52;32;22;
Lycke;22;23;8;12;13;5;:;:;:;:;
Lydia;39;36;27;16;19;21;14;24;14;12;
Lykke;80;103;91;86;82;65;41;28;19;14;
Lærke;6;7;:;9;5;11;6;:;:;:;
Madeleine;39;48;51;52;44;59;68;59;60;76;
Madelen;69;73;56;110;61;81;83;73;88;81;
Madelene;:;4;5;4;9;11;5;6;12;8;
Magdalena;10;8;:;11;11;14;16;12;6;11;
Mai;4;:;8;6;7;7;7;8;7;11;
Maia;36;39;34;58;48;42;45;52;40;51;
Maida;14;14;12;:;12;6;4;:;:;:;
Maiken;48;41;67;66;65;56;57;55;37;51;
Maja;212;213;227;258;269;279;211;232;206;215;
Malaika;:;:;:;:;5;:;8;9;5;17;
Malak;8;8;12;11;10;11;4;4;7;8;
Malena;5;9;9;8;5;15;6;11;17;15;
Malene;44;50;47;66;58;61;76;81;81;79;
Mali;42;36;52;52;59;85;31;21;15;18;
Malin;139;147;173;196;190;259;251;271;311;381;
Maren;64;80;84;88;119;115;129;146;179;189;
Margit;13;17;6;8;10;13;5;10;11;12;
Margrete;:;9;7;5;6;9;9;13;8;10;
Margrethe;13;7;24;17;23;22;24;26;26;29;
Mari;116;121;136;174;172;160;198;169;184;193;
Maria;207;235;234;286;269;339;355;370;371;376;
Mariam;25;20;19;30;23;26;16;24;12;21;
Marianne;10;7;11;6;7;16;19;24;14;23;
Marie;190;188;210;217;235;220;230;228;232;242;
Mariel;4;6;5;9;5;12;11;15;8;7;
Mariell;36;27;38;28;45;38;46;40;33;33;
Marielle;21;28;26;26;33;44;30;30;32;19;
Marina;14;11;7;15;12;15;17;14;22;21;
Marion;36;28;23;22;26;17;18;22;23;22;
Marit;15;20;13;25;24;19;24;22;40;35;
Marita;4;7;7;7;12;9;9;15;28;25;
Marlene;9;9;18;8;20;19;12;13;19;11;
Marta;10;21;21;29;27;16;10;28;22;14;
Marte;42;48;50;66;55;81;95;100;134;120;
Martha;18;15;18;24;21;26;29;26;19;27;
Marthe;27;22;25;27;35;42;60;70;61;94;
Marthine;:;6;:;:;8;9;9;11;5;11;
Martina;9;6;5;5;9;11;7;6;7;5;
Martine;125;146;132;169;215;257;223;198;207;197;
Martyna;8;8;8;9;10;13;11;19;10;12;
Marwa;6;7;4;10;10;4;8;10;8;7;
Mary;:;4;4;9;7;8;6;11;12;9;
Maryam;25;25;28;21;23;16;14;16;15;10;
Mathea;130;141;152;154;160;160;149;129;147;167;
Mathilda;23;16;19;16;17;19;15;8;8;5;
Mathilde;222;217;229;234;224;201;242;203;191;219;
Matilda;33;33;22;28;28;23;27;11;14;8;
Matilde;64;64;71;56;80;70;89;84;78;46;
Maud;13;9;10;7;10;9;6;4;5;5;
May;9;4;13;5;11;15;13;19;20;22;
Maya;75;88;60;80;94;89;72;63;84;79;
Medina;12;14;6;15;12;5;8;5;:;5;
Melina;29;30;27;28;18;31;19;23;22;14;
Melinda;4;:;4;8;7;10;:;7;:;4;
Meline;10;5;4;5;6;:;:;:;:;:;
Melisa;:;6;6;5;6;7;9;10;10;9;
Melissa;38;44;50;42;36;43;29;28;26;31;
Mia;254;263;253;338;284;283;339;313;278;289;
Michelle;41;57;62;45;57;86;89;74;68;69;
Mie;178;134;112;119;115;96;92;70;57;36;
Mikaela;9;5;8;6;10;6;6;5;:;:;
Mila;41;28;19;21;8;8;8;:;4;:;
Milana;7;10;9;5;:;4;4;:;:;:;
Milena;19;13;14;12;11;9;8;8;11;8;
Milja;4;4;5;:;:;10;4;:;:;5;
Milla;71;70;78;82;99;133;120;49;39;44;
Mille;120;144;153;132;147;151;155;79;86;82;
Millie;10;6;12;6;4;10;4;4;4;:;
Milly;10;5;:;8;6;8;4;4;:;4;
Mina;144;152;131;168;143;189;211;247;227;189;
Mira;30;27;31;25;33;47;44;65;54;27;
Miriam;32;38;61;52;58;74;67;64;65;61;
Moa;7;9;10;7;4;12;9;10;10;13;
Molly;18;23;34;39;30;26;12;13;10;4;
Mona;10;13;20;17;12;21;18;16;29;25;
Monica;:;6;6;6;4;8;:;6;9;13;
